Satisfaction,Enjoyment,Recommend,Type,SpendingLastYear,SpendingThisYear,BirthDate
Satisfied,High,Neutral,Action,379,661,7/30/1992
Very Satisfied,High,Will,Role Play,400,320,10/17/1984
Satisfied,Neutral,Neutral,Action,324,625,9/22/1985
Satisfied,High,Will,Role Play,452,150,1/7/1988
Neutral,Very High,Definitely Will,Sports,398,716,11/18/1991
Neutral,Very High,Neutral,Action,168,555,9/6/1994
Neutral,Very High,Will,Sports,203,519,11/26/1985
Neutral,High,Neutral,Sports,252,259,7/14/1984
Neutral,High,Will,Sports,217,475,4/1/1996
Satisfied,High,Neutral,Action,288,140,9/26/1983
Satisfied,Very High,Will,Action,429,432,10/5/1986
Very Satisfied,Very High,Definitely Will,Role Play,190,166,2/26/1996
Satisfied,High,Neutral,Sports,161,237,3/14/1992
Neutral,Very High,Definitely Will,Action,406,190,10/7/1987
Satisfied,Very High,Will,Role Play,426,726,11/6/1986
Satisfied,Very High,Neutral,Action,436,125,2/4/1990
Satisfied,High,Neutral,Action,347,368,9/17/1985
Satisfied,Very High,Definitely Will,Sports,482,677,5/23/1997
Dissatisfied,Very High,Will,Role Play,324,704,4/1/1984
Very Satisfied,High,Will,Sports,380,363,1/1/1998
Satisfied,High,Definitely Will,Action,474,669,1/28/1991
Neutral,Very High,Will,Role Play,209,172,10/27/1982
Neutral,High,Will,Action,276,156,3/8/1990
Very Satisfied,Very High,Neutral,Role Play,338,245,9/9/1982
Neutral,Neutral,Will Not,Role Play,220,331,12/27/1986
Satisfied,Very High,Neutral,Role Play,295,484,10/16/1997
Satisfied,Very High,Definitely Will,Role Play,430,304,9/21/1983
Neutral,Neutral,Neutral,Role Play,177,322,8/18/1997
Very Satisfied,High,Neutral,Sports,302,658,1/22/1984
Neutral,Neutral,Definitely Will,Role Play,327,545,9/9/1994
Satisfied,High,Will,Role Play,249,215,8/25/1987
Very Satisfied,Very High,Will,Role Play,229,769,10/2/1992
Very Satisfied,Very High,Definitely Will,Role Play,476,634,12/30/1982
Satisfied,Very High,Will,Role Play,329,638,3/31/1984
Satisfied,High,Will,Sports,284,239,7/25/1994
Very Satisfied,High,Neutral,Action,309,472,6/15/1997
Satisfied,High,Will,Sports,414,448,2/9/1995
Satisfied,Neutral,Will Not,Sports,264,632,3/10/1993
Satisfied,High,Neutral,Sports,408,154,5/4/1985
Satisfied,Neutral,Will,Action,273,772,2/24/1990
Satisfied,Very High,Definitely Will,Action,360,392,3/22/1982
Very Satisfied,Very High,Will,Sports,154,120,6/29/1984
Neutral,High,Neutral,Action,222,719,4/23/1987
Satisfied,Very High,Definitely Will,Role Play,150,575,5/25/1987
Satisfied,High,Will,Sports,485,563,11/28/1995
Satisfied,Very High,Neutral,Action,353,247,9/17/1994
Satisfied,High,Will Not,Action,164,774,10/19/1993
Satisfied,Neutral,Neutral,Action,192,641,6/16/1990
