"Urban","Siblings","White","Christian","FamilySize","Height","Weight","Income","IncomeBase10","IncomeSquared"
1,1,1,"1",4,64,200,40000,4.60205999132796,200
1,1,1,"1",3,65,131,25000,4.39794000867204,158.113883008419
0,7,1,"0",3,65,179,27400,4.43775056282039,165.529453572468
1,4,1,"Jared",6,66,145,52000,4.7160033436348,228.035085019828
1,1,1,"1",3,71,155,55000,4.74036268949424,234.520787991171
1,2,1,"1",5,71,180,60000,4.77815125038364,244.948974278318
1,2,1,"1",5,67,135,48000,4.68124123737559,219.089023002066
0,3,1,"1",4,63,130,38000,4.57978359661681,194.935886896179
1,2,1,"0",2,69,160,48000,4.68124123737559,219.089023002066
1,2,1,"0",1,69,155,120000,5.07918124604763,346.410161513775
1,2,1,"1",5,NA,120,52000,4.7160033436348,228.035085019828
1,2,1,"1",5,62,133,82000,4.91381385238372,286.356421265527
1,1,1,"1",4,64,110,36000,4.55630250076729,189.736659610103
1,1,1,"0",3,67,125,20000,4.30102999566398,141.42135623731
1,1,1,"1",4,63,123,38000,4.57978359661681,194.935886896179
1,1,1,"0",4,65,114,24000,4.38021124171161,154.919333848297
1,1,1,"0",4,67,146,50000,4.69897000433602,223.606797749979
1,2,0,"1",4,68,150,26000,4.41497334797082,161.245154965971
1,5,1,"0",4,70,185,35000,4.54406804435028,187.082869338697
1,4,1,"1",4,67,124,13000,4.11394335230684,114.017542509914
1,4,1,"1",4,64,108,44000,4.64345267648619,209.76176963403
1,NA,1,"1",4,71,170,57000,4.75587485567249,238.746727726266
1,3,1,"1",3,74,230,115000,5.06069784035361,339.116499156263
1,1,0,"1",4,71,210,50000,4.69897000433602,223.606797749979
1,2,0,"0",5,67,130,6000,3.77815125038364,77.4596669241483
1,0,1,"1",3,62,115,30000,4.47712125471966,173.205080756888
1,1,1,"0",3,73,190,65000,4.81291335664286,254.950975679639
1,6,1,"1",2,69,135,33361,4.52323906019031,182.649938406779
0,4,1,"1",4,65,170,27000,4.43136376415899,164.31676725155
0,3,0,"1",7,69,237,1200,3.07918124604762,34.6410161513775
1,3,1,"1",2,73,195,40000,4.60205999132796,200
0,1,1,"1",2,67,128,2500,3.39794000867204,50
1,2,1,"1",5,62,130,43000,4.63346845557959,207.364413533277
1,2,0,"1",5,69,190,31000,4.49136169383427,176.06816861659
0,2,0,"1",5,71,190,50000,4.69897000433602,223.606797749979
1,3,1,"1",4,65,120,40000,4.60205999132796,200
0,3,1,"1",4,70,175,34000,4.53147891704226,184.390889145858
1,3,1,"1",3,70,160,115000,5.06069784035361,339.116499156263
1,1,0,"1",4,73,155,70000,4.84509804001426,264.575131106459
1,2,1,"1",3,65,NA,36000,4.55630250076729,189.736659610103
1,2,1,"1",4,70,179,216200,5.33485568961729,464.973117502507
1,3,1,"0",5,64,115,30000,4.47712125471966,173.205080756888
1,3,0,"0",5,73,160,30000,4.47712125471966,173.205080756888
1,1,1,"1",4,63,125,38000,4.57978359661681,194.935886896179
1,2,1,"1",5,71,160,216200,5.33485568961729,464.973117502507
0,5,1,"1",4,67,130,15500,4.19033169817029,124.498995979887
1,5,1,"1",4,69,170,11000,4.04139268515823,104.880884817015
0,2,1,"1",4,65,125,20000,4.30102999566398,141.42135623731
1,2,1,"1",1,64,122,38000,4.57978359661681,194.935886896179
1,7,1,"1",1,66,134,28000,4.44715803134222,167.332005306815
1,2,1,"0",2,64,120,43000,4.63346845557959,207.364413533277
