Area,Siblings,White,Christian,FamilySize,Height,Weight,Income
Urban,1,1,1,4,64,200,140000
Urban,1,1,1,3,65,131,25000
Rural,7,1,0,3,65,179,27400
Urban,4,1,1,6,66,145,52000
Urban,1,1,1,3,71,155,55000
Urban,2,1,1,5,71,180,60000
Urban,2,1,1,5,67,135,48000
Rural,3,1,1,4,63,130,38000
Urban,2,1,0,2,69,160,48000
Urban,2,1,0,1,69,155,120000
Urban,2,1,1,5,,120,52000
Urban,2,1,1,5,62,133,82000
Urban,1,1,1,4,64,110,136000
Urban,1,1,0,3,67,125,20000
Urban,1,1,0,4,65,114,24000
Urban,1,1,0,7,67,146,50000
Urban,2,0,1,4,68,150,26000
Urban,5,1,0,4,70,185,35000
Urban,4,1,1,4,67,124,13000
Urban,4,1,1,4,64,108,44000
Urban,,1,1,4,71,170,57000
Urban,3,1,1,3,74,230,115000
Urban,1,0,1,4,71,210,50000
Urban,2,0,0,5,67,130,6000
Urban,0,1,1,3,62,115,30000
Urban,1,1,0,3,73,190,65000
Urban,6,1,1,2,69,135,33361
Rural,4,1,1,4,65,170,27000
Rural,3,0,1,7,69,237,1200
Urban,3,1,1,2,73,195,40000
Rural,1,1,1,2,67,128,2500
Urban,2,1,1,5,62,130,43000
Urban,2,0,1,5,69,190,31000
Rural,2,0,1,5,71,190,50000
Urban,3,1,1,4,65,120,40000
Rural,3,1,1,4,70,175,34000
Urban,3,1,1,3,70,160,115000
Urban,1,0,1,4,73,155,70000
Urban,2,1,1,3,65,,36000
Urban,2,1,1,4,70,179,216200
Urban,3,1,0,5,64,115,30000
Urban,3,0,0,5,73,160,30000
Urban,2,1,1,5,71,160,216200
Rural,5,1,1,4,67,130,15500
Urban,5,1,1,4,69,170,11000
Rural,2,1,1,4,65,125,20000
Urban,2,1,1,1,64,122,38000
Urban,7,1,1,4,66,134,128000
Urban,2,1,0,2,64,120,43000
