"Net.Worth","Age","Happiness"
8776,30,16
11163,48,39
15819,50,50
509257,55,47
41834,68,67
24659,33,19
6364,45,39
170359,74,86
7904945,47,44
1313923,52,49
37258,21,21
17704,72,71
898343,71,81
4590,42,32
1412,77,82
2564909,36,34
107039,64,67
18102,68,71
40897,19,18
78026,45,47
2398596,57,52
7095224,32,30
2047,45,35
1574,47,35
5393,45,34
2113270,41,39
422658,42,33
125621,53,51
159962,48,39
603046,66,71
6890,54,49
13396,59,53
1528,31,18
2616175,38,38
330852,22,20
10760,57,52
12294,69,71
30562,72,70
16053,52,47
2585,29,24
577696,31,27
18259,28,25
107817,70,74
15982,44,31
4310,66,70
42892,32,29
7802,27,17
134080,19,19
5259,52,44
1641,60,53
1488,25,19
1028373,53,48
1930,43,34
5119,39,29
45879,61,60
9251253,56,50
59232,70,73
974622,45,38
19638,40,32
7530,52,43
1511538,19,26
830554,46,40
1638453,74,87
3875329,27,25
101825,76,90
53184,72,71
1044669,49,43
7204254,65,72
11523,47,36
1512936,34,28
899649,68,67
4233322,69,77
441440,42,28
2668998,78,99
1245513,48,48
41082,45,35
21787,59,61
17633,32,21
8039,73,78
4823,31,26
108739,55,48
232832,48,42
295427,78,93
1832735,55,52
8221266,43,38
184907,54,52
779098,77,94
1068792,38,37
1178,20,19
97780,27,19
2903,80,93
76244,78,92
2566,54,46
124864,36,33
45301,59,59
270815,57,51
1097,46,37
11242,38,28
3204228,33,30
93391,21,23
